"Number of header lines:";"35";
"Experiment";"280323_Lphn31_HOM_&WT_Methylphenidate_6dpf_DL&NN";
"System Independent Variable";
"Trial name";"Trial     2";
"Trial ID";"1";
"Arena name";"E7";
"Arena ID";"51";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"Arena Settings 3";
"Detection settings";"Detection Settings 1";
"Trial Control settings";"Default";
"Start time";"28/03/2023 13:00:00,0";
"Trial duration";"+ 20:41:23.6";
"Recording after";"+ 00:00:00.0";
"Recording duration";"+ 20:41:23.6";
"Track";"Track filet0001a0051o0000_0001.trk";
"Tracking source";"";
"Video file";"Z:\ADHD\Lphn 3.1\Methylphenidate\280323\280323_Lphn31_HOM_&WT_Methylphenidate_6dpf_DL&NN_plate2.mpg";
"Video start time";"29/03/2023 09:36:22.0";
"Trial status";"2";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"External";
"Sync status";"Not available";
"Reference duration";"+ 20:41:23.6";
"Reference time";"29/03/2023 09:36:22.0";
"Sof file";"";
"Missed samples";"2.3 %";
"Subject not found";"2.5 %";
"User-defined Independent Variable";
"Treatment";"";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Distance moved";"Velocity";"Movement(Moving / center-point)";"Movement(Not Moving / center-point)";"All";
"s";"s";"mm";"mm";"mm?";"mm?";"";"mm";"mm/s";"";"";"";
39.000;39.000;-19.4922;-1.25383;1.18368;0.838438;0.519457;0.0984829;0.492414;0;1;1;
39.200;39.200;-19.4746;-1.25297;1.18368;0.394559;0.657594;0.0176707;0.0883536;0;1;1;
39.400;39.400;-19.323;-1.00521;1.43028;0.641158;0.722935;0.290461;1.4523;0;1;1;
39.600;39.600;-19.323;-1.00521;1.43028;0;0.722935;0;0;0;1;1;
39.800;39.800;-19.323;-1.00521;1.43028;0;0.722935;0;0;0;1;1;
40.000;40.000;-19.3187;-1.00862;1.233;0.295919;0.574075;0.00545728;0.0272864;0;1;1;
40.200;40.200;-19.3187;-1.00862;1.233;0;0.574075;0;0;0;1;1;
40.400;40.400;-19.3187;-1.00862;1.233;0;0.574075;0;0;0;1;1;
40.600;40.600;-19.2188;-0.971163;1.52892;0.295919;0.660116;0.106704;0.533518;0;1;1;
40.800;40.800;-19.2188;-0.971163;1.52892;0;0.660116;0;0;0;1;1;
41.000;41.000;-19.2188;-0.971163;1.52892;0;0.660116;0;0;0;1;1;
41.200;41.200;-19.2634;-0.997307;1.38096;0.14796;0.693316;0.0517422;0.258711;0;1;1;
41.400;41.400;-19.2634;-0.997307;1.38096;0;0.693316;0;0;0;1;1;
41.600;41.600;-19.2634;-0.997307;1.38096;0;0.693316;0;0;0;1;1;
41.800;41.800;-19.2204;-0.985127;1.43028;0.0493199;0.698956;0.0447149;0.223575;0;1;1;
42.000;42.000;-19.2204;-0.985127;1.43028;0;0.698956;0;0;0;1;1;
42.200;42.200;-19.2204;-0.985127;1.43028;0;0.698956;0;0;0;1;1;
42.400;42.400;-19.2338;-1.0627;1.62756;0.394559;0.701247;0.0787213;0.393606;0;1;1;
42.600;42.600;-19.2632;-1.06165;1.4796;0.14796;0.689202;0.0294286;0.147143;0;1;1;
42.800;42.800;-19.2632;-1.06165;1.4796;0;0.689202;0;0;0;1;1;
43.000;43.000;-19.2862;-1.11694;1.28232;0.295919;0.576113;0.0598523;0.299262;0;1;1;
43.200;43.200;-19.2862;-1.11694;1.28232;0;0.576113;0;0;0;1;1;
43.400;43.400;-19.2862;-1.11694;1.28232;0;0.576113;0;0;0;1;1;
43.600;43.600;-19.284;-1.10346;1.233;0.246599;0.703348;0.0136466;0.0682331;0;1;1;
43.800;43.800;"-";"-";"-";"-";"-";"-";"-";0;1;1;
44.000;44.000;-19.284;-1.10346;1.233;0;0.703348;"-";"-";0;1;1;
44.200;44.200;-19.2696;-1.12891;1.38096;0.246599;0.637876;0.0292357;0.146179;0;1;1;
44.400;44.400;-19.2696;-1.12891;1.38096;0;0.637876;0;0;0;1;1;
44.600;44.600;-19.2696;-1.12891;1.38096;0;0.637876;0;0;0;1;1;
44.800;44.800;-19.2362;-1.16457;1.4796;0.197279;0.563949;0.0488944;0.244472;0;1;1;
45.000;45.000;-19.2362;-1.16457;1.4796;0;0.563949;0;0;0;1;1;
45.200;45.200;-19.2362;-1.16457;1.4796;0;0.563949;0;0;0;1;1;
45.400;45.400;-19.5476;-0.538378;1.28232;1.97279;0.682749;0.699359;3.4968;0;1;1;
45.600;45.600;-19.5476;-0.538378;1.28232;0;0.682749;0;0;0;1;1;
45.800;45.800;-19.5813;-0.499085;1.28232;0.295919;0.714199;0.0517787;0.258893;0;1;1;
46.000;46.000;-19.3062;-0.589748;1.28232;0.295919;0.790354;0.289649;1.44824;0;1;1;
46.200;46.200;-19.0968;-0.704313;1.38096;0.690478;0.763837;0.238683;1.19342;0;1;1;
46.400;46.400;-19.1207;-0.694547;1.33164;0.0493199;0.741344;0.0258071;0.129036;0;1;1;
46.600;46.600;-19.1207;-0.694547;1.33164;0;0.741344;0;0;0;1;1;
46.800;46.800;-19.3693;-0.601871;1.7262;0.690478;0.870755;0.2653;1.3265;0;1;1;
47.000;47.000;-19.3934;-0.592215;1.67688;0.0493199;0.861988;0.0259655;0.129828;0;1;1;
47.200;47.200;"-";"-";"-";"-";"-";"-";"-";0;1;1;
47.400;47.400;-19.3714;-0.598516;1.77551;0.493199;0.884292;"-";"-";0;1;1;
